003503,1
003511,0
004845,1
004857,0
010736,1
010749,0
011023,1
011040,0
011850,1
011912,0
012312,1
012322,0
012325,1
012333,0
012349,1
012357,0
012400,1
012408,0
015705,1
015722,0
021249,1
021304,0
023126,1
023143,0
023235,1
023256,0
025206,1
025220,0
025752,1
025805,0
025917,1
025931,0
030423,1
030449,0
030848,1
030909,0
031238,1
031257,0
032852,1
032910,0
032957,1
033005,0
035553,1
035613,0
041041,1
041059,0
041859,1
041913,0
042518,1
042526,0
042621,1
042638,0
042726,1
042737,0
042747,1
042755,0
043728,1
043751,0
044122,1
044132,0
045126,1
045142,0
050246,1
050300,0
050316,1
050332,0
052421,1
052443,0
052507,1
052523,0
053930,1
053950,0
055325,1
055344,0
055713,1
055729,0
060155,1
060216,0
060433,1
060455,0
060905,1
060917,0
061836,1
061844,0
062735,1
062800,0
063021,1
063040,0
063042,1
063050,0
064845,1
