010623,1
010642,0
012934,1
012953,0
013913,1
013925,0
014112,1
014125,0
014413,1
014437,0
015346,1
015358,0
015450,1
015459,0
015840,1
015902,0
020521,1
020542,0
020829,1
020846,0
021118,1
021128,0
023415,1
023434,0
030138,1
030151,0
030159,1
030215,0
030359,1
030410,0
031625,1
031643,0
032002,1
032020,0
032453,1
032504,0
033420,1
033428,0
034102,1
034127,0
034238,1
034254,0
034512,1
034520,0
034742,1
034807,0
034927,1
034939,0
034941,1
034949,0
035252,1
035304,0
043543,1
043558,0
043717,1
043734,0
044711,1
044731,0
045130,1
045143,0
050005,1
050023,0
050238,1
050250,0
050722,1
050730,0
050733,1
050742,0
051359,1
051422,0
052903,1
052918,0
053648,1
053704,0
053824,1
053846,0
053918,1
053938,0
054407,1
054431,0
054533,1
054541,0
054910,1
054931,0
060036,1
060056,0
060121,1
060128,0
060437,1
060445,0
062526,1
062542,0
062825,1
062843,0
062859,1
062912,0
063632,1
063645,0
064409,1
064420,0
064901,1
064922,0
065439,1
065449,0
