005556,1
005610,0
005816,1
005824,0
010344,1
010352,0
012126,1
012148,0
013238,1
013253,0
013725,1
013733,0
014350,1
014401,0
014727,1
014741,0
015103,1
015116,0
015238,1
015249,0
022430,1
022457,0
022521,1
022551,0
022609,1
022620,0
023302,1
023316,0
023347,1
023400,0
024108,1
024121,0
024739,1
024751,0
025545,1
025601,0
025707,1
025716,0
030356,1
030413,0
030529,1
030546,0
030618,1
030630,0
031131,1
031142,0
031338,1
031404,0
032151,1
032209,0
032726,1
032734,0
033703,1
033720,0
034512,1
034524,0
035128,1
035139,0
040917,1
040929,0
043740,1
043801,0
045405,1
045418,0
050145,1
050200,0
050626,1
050644,0
051708,1
051725,0
052435,1
052446,0
052757,1
052816,0
053351,1
053410,0
053509,1
053517,0
053913,1
053927,0
054107,1
054118,0
054406,1
054429,0
060957,1
061013,0
061606,1
061617,0
062235,1
062257,0
064355,1
064410,0
064832,1
064859,0
070025,1
070042,0
